Duration,Src_Bytes,Dst_Bytes,Count,Failed_Logins,Attack
1.1,567.0,471.0,3,0,0
8.53,249.0,132.0,13,2,1
16.59,103.0,151.0,19,4,1
0.15,9363.0,223.0,42,0,0
0.41,424.0,794.0,8,0,0
0.05,7863.0,317.0,54,0,1
0.11,10048.0,460.0,36,1,1
4.46,6.0,90.0,13,3,1
0.05,9578.0,291.0,34,0,1
0.41,17.0,862.0,4,0,0
0.51,977.0,805.0,9,0,0
1.43,620.0,830.0,7,0,0
0.16,377.0,694.0,3,0,0
0.5,590.0,701.0,2,0,0
13.95,314.0,1079.0,4,0,0
0.62,577.0,950.0,7,1,0
26.0,81.0,18.0,12,5,1
0.21,344.0,120.0,2,0,0
3.43,441.0,725.0,0,0,0
6.71,609.0,461.0,7,0,0
0.74,130.0,87.0,13,2,0
5.96,540.0,972.0,2,0,0
0.66,1083.0,256.0,1,0,0
0.03,7902.0,191.0,34,1,1
0.26,462.0,770.0,0,0,0
5.57,369.0,163.0,6,0,0
0.04,7930.0,134.0,39,0,1
5.15,597.0,583.0,4,0,0
4.64,506.0,671.0,7,0,0
10.14,223.0,41.0,11,2,1
1.83,3978.0,267.0,39,1,1
9.99,505.0,645.0,4,0,0
0.45,629.0,187.0,6,0,0
2.52,589.0,662.0,4,0,0
0.29,6731.0,169.0,35,0,1
12.17,773.0,924.0,6,0,0
2.99,406.0,815.0,4,0,0
1.49,919.0,1093.0,2,0,0
0.15,6845.0,266.0,43,1,1
7.48,211.0,128.0,24,4,1
2.39,634.0,606.0,1,0,1
2.2,603.0,607.0,7,0,0
0.91,253.0,84.0,15,3,1
0.5,636.0,717.0,6,0,0
6.49,142.0,113.0,13,4,1
0.04,395.0,442.0,3,0,0
0.68,634.0,528.0,7,0,0
0.49,2863.0,181.0,35,0,1
0.18,326.0,744.0,5,0,0
2.74,166.0,185.0,13,2,1
0.33,7132.0,57.0,46,0,1
2.06,928.0,598.0,3,0,0
10.02,949.0,700.0,5,1,0
3.31,352.0,931.0,2,0,0
0.71,8514.0,152.0,36,0,1
4.62,184.0,251.0,13,3,1
1.41,771.0,723.0,4,0,0
0.15,158.0,0.0,22,3,1
10.12,533.0,602.0,3,0,0
0.74,400.0,286.0,3,0,0
1.22,337.0,413.0,3,0,0
1.27,845.0,317.0,4,0,0
12.47,610.0,747.0,1,0,0
13.32,148.0,98.0,16,2,1
0.36,408.0,594.0,2,1,0
2.08,867.0,616.0,6,0,0
6.47,456.0,604.0,3,0,0
2.78,409.0,353.0,7,0,0
8.32,156.0,56.0,17,2,1
0.19,8207.0,341.0,46,0,1
0.73,8613.0,22.0,47,0,1
0.2,294.0,686.0,2,0,0
0.2,705.0,710.0,8,0,0
1.42,378.0,665.0,4,0,0
11.79,396.0,903.0,4,0,0
6.75,171.0,147.0,18,3,1
1.86,462.0,381.0,1,0,0
8.67,300.0,440.0,6,0,0
0.9,8742.0,65.0,40,0,1
0.47,7749.0,189.0,40,0,1
0.37,10727.0,421.0,36,0,1
1.79,50.0,401.0,5,0,0
0.5,612.0,377.0,1,0,0
0.79,365.0,484.0,5,0,0
0.6,6154.0,138.0,37,0,0
2.39,464.0,637.0,2,0,0
0.75,7646.0,207.0,35,0,1
0.24,9018.0,239.0,34,1,1
0.73,8330.0,282.0,45,0,1
1.3,8144.0,88.0,41,0,1
0.91,10263.0,169.0,24,0,1
1.09,556.0,1142.0,3,0,0
2.11,394.0,961.0,6,0,0
3.9,283.0,723.0,7,0,0
2.87,115.0,256.0,13,5,1
6.58,224.0,88.0,18,4,0
0.09,381.0,138.0,41,0,1
7.94,160.0,144.0,20,2,1
6.91,167.0,136.0,21,4,1
1.78,175.0,111.0,11,5,1
1.28,477.0,451.0,6,0,0
0.13,5643.0,294.0,28,0,1
0.47,10596.0,146.0,47,0,1
0.89,11019.0,167.0,38,0,1
0.91,409.0,394.0,9,0,0
3.96,505.0,843.0,2,0,0
1.72,629.0,697.0,2,0,0
3.1,738.0,751.0,1,0,0
1.33,926.0,495.0,5,0,0
0.69,232.0,0.0,15,3,1
4.23,524.0,557.0,5,0,0
1.45,189.0,64.0,13,2,1
0.22,738.0,766.0,9,0,0
0.28,8157.0,211.0,49,0,1
5.5,581.0,841.0,2,0,1
5.34,727.0,1016.0,2,0,0
0.2,8529.0,145.0,36,0,1
4.49,117.0,157.0,14,2,1
1.47,208.0,76.0,13,3,1
0.79,471.0,773.0,4,0,0
2.85,392.0,987.0,2,0,0
4.01,450.0,80.0,4,0,0
0.1,7113.0,0.0,28,0,1
6.88,626.0,349.0,8,0,0
0.86,495.0,1201.0,4,0,0
2.02,563.0,910.0,5,0,0
0.06,5311.0,145.0,54,0,1
3.25,694.0,279.0,5,0,0
2.89,181.0,190.0,14,3,1
2.3,125.0,158.0,16,4,1
1.59,163.0,338.0,6,0,0
10.01,621.0,654.0,3,0,0
6.02,199.0,133.0,15,2,1
1.75,792.0,771.0,3,0,0
15.45,0.0,129.0,11,3,1
0.36,11693.0,251.0,37,0,1
9.27,623.0,839.0,4,0,0
0.95,225.0,543.0,3,0,0
0.14,8543.0,358.0,39,0,1
4.31,78.0,71.0,21,3,1
0.49,272.0,580.0,4,0,0
3.36,506.0,767.0,2,0,0
12.59,149.0,296.0,9,4,1
1.4,585.0,216.0,3,0,0
1.92,575.0,544.0,0,0,0
17.94,157.0,198.0,21,2,1
6.42,666.0,364.0,3,0,0
0.72,8983.0,114.0,30,0,1
0.23,547.0,344.0,5,0,0
1.0,598.0,579.0,6,0,0
2.48,731.0,852.0,7,0,0
1.19,573.0,645.0,4,0,0
2.18,522.0,598.0,2,0,0
3.53,608.0,891.0,1,0,1
7.49,249.0,151.0,19,3,1
6.35,202.0,200.0,19,3,1
6.46,520.0,720.0,1,0,0
5.17,185.0,535.0,4,0,0
1.0,38.0,97.0,10,3,1
0.93,517.0,561.0,6,0,0
0.53,17.0,175.0,15,2,1
3.98,202.0,80.0,13,5,1
0.13,6389.0,259.0,43,0,1
1.51,243.0,360.0,3,0,0
0.09,7549.0,201.0,38,0,1
0.28,613.0,729.0,4,0,0
14.16,172.0,180.0,15,4,0
0.07,9458.0,151.0,42,0,1
0.3,12791.0,124.0,37,0,1
0.6,595.0,604.0,4,0,0
0.88,574.0,912.0,6,0,0
3.2,459.0,462.0,4,0,0
8.42,253.0,42.0,20,5,1
3.2,652.0,994.0,4,0,0
4.61,653.0,730.0,5,0,0
0.31,5457.0,287.0,33,0,1
1.57,85.0,155.0,15,3,1
6.29,697.0,561.0,6,0,0
0.22,2752.0,284.0,56,1,1
0.38,6716.0,229.0,60,0,1
3.99,251.0,260.0,11,4,1
0.45,12456.0,179.0,47,0,1
1.18,421.0,1067.0,8,0,0
0.21,246.0,116.0,18,5,1
0.01,11684.0,218.0,42,0,1
0.92,425.0,573.0,3,1,0
6.79,292.0,203.0,10,5,1
1.24,463.0,530.0,5,0,0
2.91,568.0,779.0,5,0,0
2.35,155.0,47.0,13,3,1
0.65,8094.0,191.0,43,0,1
0.94,9744.0,428.0,41,0,1
6.93,789.0,681.0,4,0,0
0.26,2451.0,347.0,32,0,1
0.73,6586.0,310.0,41,0,1
0.21,7393.0,104.0,31,1,1
5.18,480.0,639.0,5,0,0
1.09,177.0,821.0,5,0,0
3.5,305.0,151.0,19,3,1
4.85,703.0,739.0,4,0,1
0.33,176.0,138.0,4,0,0
0.15,11023.0,357.0,38,0,1
3.63,590.0,819.0,1,0,0
1.07,54.0,127.0,15,2,0
4.74,129.0,268.0,13,2,1
10.26,627.0,697.0,5,0,0
6.37,334.0,736.0,6,0,1
0.62,9056.0,307.0,47,0,1
0.51,101.0,376.0,2,0,1
7.46,16.0,141.0,19,4,1
2.11,333.0,759.0,6,0,0
2.74,254.0,201.0,22,2,1
7.45,589.0,1012.0,2,0,0
4.11,755.0,834.0,8,0,0
7.19,292.0,97.0,5,0,0
0.74,384.0,874.0,8,0,0
2.05,514.0,568.0,4,0,0
0.71,462.0,993.0,2,0,0
0.6,225.0,640.0,1,0,0
0.69,79.0,689.0,2,0,0
3.93,519.0,899.0,7,0,0
0.65,182.0,669.0,2,0,0
3.53,185.0,88.0,16,4,0
2.61,328.0,1314.0,2,0,0
0.03,9327.0,180.0,24,0,1
2.4,408.0,627.0,5,0,0
2.0,694.0,610.0,3,0,0
0.47,9976.0,298.0,39,0,1
2.67,738.0,662.0,4,0,0
0.54,4020.0,230.0,34,0,1
1.25,502.0,899.0,7,0,0
4.04,250.0,300.0,4,1,0
0.32,578.0,253.0,0,0,0
3.57,147.0,157.0,23,5,1
0.52,6976.0,209.0,35,0,1
1.35,560.0,922.0,3,0,0
6.42,207.0,1232.0,3,0,0
0.16,3609.0,176.0,34,0,1
5.67,355.0,543.0,2,0,0
0.74,240.0,119.0,10,4,1
0.97,335.0,863.0,7,0,0
7.21,292.0,888.0,5,0,0
12.13,207.0,21.0,14,3,1
6.89,90.0,99.0,14,4,1
0.13,120.0,237.0,11,3,1
1.1,0.0,274.0,3,0,0
0.07,5996.0,73.0,35,1,1
1.63,2311.0,264.0,37,0,1
0.21,11875.0,156.0,32,0,1
0.13,8667.0,94.0,44,0,1
0.33,203.0,99.0,17,2,1
0.97,697.0,989.0,4,0,0
3.05,101.0,279.0,11,0,0
5.06,513.0,227.0,2,0,0
0.54,266.0,570.0,6,0,0
7.73,63.0,263.0,21,2,0
1.76,577.0,839.0,8,0,0
3.55,224.0,798.0,3,0,0
0.5,794.0,58.0,3,0,0
0.55,7639.0,78.0,34,0,1
2.2,168.0,150.0,26,3,1
1.08,568.0,1132.0,3,0,0
2.68,233.0,55.0,15,3,1
0.26,9213.0,224.0,32,0,1
0.66,9694.0,126.0,33,1,1
1.73,483.0,590.0,4,0,0
0.77,5747.0,358.0,34,0,1
2.84,385.0,840.0,6,0,0
2.53,567.0,713.0,2,0,0
0.53,403.0,805.0,3,0,0
1.36,507.0,678.0,4,0,0
7.66,638.0,593.0,5,0,0
4.94,538.0,336.0,8,0,0
2.42,315.0,603.0,2,1,0
4.99,535.0,773.0,6,0,0
2.25,668.0,839.0,5,0,0
0.06,7886.0,151.0,32,0,1
1.2,9240.0,237.0,35,0,1
0.11,6595.0,138.0,40,0,1
2.58,230.0,140.0,20,3,1
0.29,8630.0,60.0,39,0,1
4.45,227.0,0.0,11,2,1
0.04,4257.0,69.0,34,0,1
0.74,8364.0,183.0,31,1,1
13.76,5.0,273.0,18,4,1
0.63,7401.0,237.0,44,0,1
3.13,199.0,200.0,24,4,1
0.79,151.0,142.0,16,4,1
3.82,125.0,114.0,18,3,1
11.87,665.0,930.0,4,0,0
0.18,359.0,655.0,4,0,0
2.44,20.0,208.0,13,2,1
8.73,393.0,307.0,6,0,0
8.16,82.0,64.0,21,3,1
5.91,562.0,847.0,2,0,0
12.43,586.0,487.0,2,0,0
0.21,656.0,717.0,4,0,0
10.2,713.0,617.0,4,0,0
2.1,187.0,871.0,4,0,0
4.36,126.0,2.0,11,3,1
1.22,846.0,994.0,7,0,0
2.95,177.0,154.0,17,2,1
0.06,384.0,763.0,3,0,0
0.26,432.0,966.0,7,0,0
0.26,13303.0,223.0,32,0,1
3.51,113.0,230.0,17,3,1
0.21,772.0,909.0,1,0,0
5.85,502.0,762.0,4,0,0
9.66,39.0,225.0,12,4,1
5.79,462.0,659.0,2,0,0
0.38,145.0,121.0,20,4,1
10.24,650.0,1183.0,3,0,0
0.3,4851.0,69.0,32,0,1
1.67,143.0,72.0,17,5,1
1.25,158.0,60.0,10,4,1
0.29,443.0,813.0,3,0,0
0.08,532.0,969.0,5,0,0
0.93,339.0,838.0,2,0,0
1.14,746.0,540.0,2,0,0
2.57,164.0,253.0,11,4,1
2.87,738.0,526.0,7,0,0
9.04,642.0,405.0,3,0,0
2.91,552.0,1091.0,3,0,0
0.6,393.0,433.0,5,0,0
1.0,143.0,108.0,31,3,1
0.06,7301.0,149.0,42,0,1
0.82,279.0,476.0,4,0,0
3.23,231.0,189.0,16,4,1
0.86,699.0,943.0,4,0,0
1.6,2057.0,122.0,38,0,1
0.02,274.0,577.0,6,0,0
6.61,128.0,213.0,16,4,1
0.55,176.0,251.0,9,4,1
0.07,8819.0,258.0,47,0,1
4.22,348.0,560.0,2,0,0
3.9,522.0,700.0,5,0,0
1.26,582.0,1165.0,4,0,0
6.64,545.0,937.0,3,0,0
3.24,579.0,715.0,1,0,0
0.37,10059.0,140.0,38,0,1
0.05,6270.0,183.0,48,0,1
0.74,1062.0,553.0,2,0,0
7.45,148.0,118.0,17,5,1
4.21,537.0,394.0,3,0,0
1.63,698.0,791.0,2,0,0
3.19,616.0,831.0,5,0,0
7.52,677.0,823.0,5,0,0
0.94,5251.0,223.0,41,0,1
0.38,5738.0,183.0,47,0,1
1.21,455.0,381.0,3,0,0
